tokens,token_name
0xb0ba1b6ebadeba1a63a94445f0dfb249082b5dc1,BOBA
0x53eb812b57e49b663628fcb420414005f39d8ab4,Len
0xa28cbb24313df3907b8d87685bab2c1d0bd46b60,ATX
0x66676869d3b1826d35225988a87870bd483a6bef,Punkdog
0x0c499faceb42c98141409baa13ba812cdc98fdc2,SATOSHI
0x73a740d256188395d9af56db31ab1e9bb2f2978d,CUBE
0x69000f9c5790ff4403da64e6698acf864f285307,KRX
0xa7dabb321c42aa5397d2df5cf0595def1fed9f22,MABA
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH
0x636bd98fc13908e475f56d8a38a6e03616ec5563,WAT
0x509d7f394bca2c0e2f9106257e1e6cdedf754fbb,RAMUNE
0x93c2bd80cadcfeb541eb5af4052375bde8d6f24f,SASHA
0x57e114b691db790c35207b2e685d4a43181e6061,ENA
0xba4fc8409677d3ef2b23f05a1b6feb5be7dbdbfb,ANUJAI
0x999950e246f7f343bc03ceb87e2d5432b359f20a,MUMU
0x7285b4c100cc351a7fc26604392d5f8335e7e76a,BabyFuku
0xa6c1a1a88e8ef25c2a6bba96938aa60ffa4bf339,FUKU
0xb8d6196d71cdd7d90a053a7769a077772aaac464,MARS
0x426742d23e7b29019aa68638cdbf385c9aa09f0f,EOB
0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,DEAI
0xaba16cda60b232174f672805790fa9ae9f2a2442,X
0xbc5a72aaf0ac7b2c391f87921ce00b3b36831843,POO
0xa277374508c46cc0bd2f70e28f42f4d98626ba17,BUDDY
0xb90b2a35c65dbc466b04240097ca756ad2005295,BOBO
0xaa95f26e30001251fb905d264aa7b00ee9df6c18,Kendu
0x792833b894775bd769b3c602ba7172e59a83ab3f,TOONS
0x5026f006b85729a8b14553fae6af249ad16c9aab,WOJAK
0x1caf237d7a2d103e3e9b1855988c01ac10344600,Lexi
0x8800cfbc57d2ff6f18295e80a72a967876270607,DAX
0xbbc2ae13b23d715c30720f079fcd9b4a74093505,ERN
0x2cd32604b8653523c14e47eb1b0b757533ca842c,$POODENG
0x420692f3f9d82341809fc2d0f3fb4a7664201f8f,MASARU
0xb8c150fffb0883780107c9e46409e9207a6204a2,pTRUMP
0x25bc1588773d8cbcf174373ff9250c7ac9e09cdf,MABA
0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x00b3dc4b5474cd014183cfd4723f0041425eb0d2,RTR
0x58cb30368ceb2d194740b144eab4c2da8a917dcb,ZYN
0x1387250233cea16f5a8ead6d0d495223f0f72bf0,BitLen
0x6942040b6d25d6207e98f8e26c6101755d67ac89,MELLOW
0x322a243d258cd810ed028a9930186cf488162b5f,Kabosu
0x69002bbe1e8e09f53374a8daf0e38dde61d77421,DJIA
0x4fc1b049960adaa89e462c95474bd6c5a43f969a,PAC
0x15b9aeae2320bc1d910794d0f5878318676d744c,NEIRO2
0x66b5228cfd34d9f4d9f03188d67816286c7c0b74,VOLT
0x218f1d9cdf3984f188a4a8f7931c737f75251f5b,MOOWAN
0x85bea4ee627b795a79583fcede229e198aa57055,Marvin
0x2be8e422cb4a5a7f217a8f1b0658952a79132f28,MSI
0x18ef464fd73ed484c12339eaa5d5e3c8f6c48180,COFFEE
0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,GPU
0x07040971246a73ebda9cf29ea1306bb47c7c4e76,USPEPE
0x64fca7dec4f694390dc04726c434f88171175c0d,Moodeng
0xaf0cf0b718b3fca20d66cd93df877309e3f5836d,SATOSHI
0x4391658ddd1f243c9e850e86c85f31a8dc6922cb,DAOX
0x53d6d0c01edfb7b742c8a61f248241a93ef64a23,$WWW
0x0a7331ce2e4d7d4a9788ef1020a46659f4a32583,YUME
0x1121acc14c63f3c872bfca497d10926a6098aac5,DOGE
0xa045fe936e26e1e1e1fb27c1f2ae3643acde0171,KAI
0x36c7188d64c44301272db3293899507eabb8ed43,SWAG
0x614da3b37b6f66f7ce69b4bbbcf9a55ce6168707,MMX
0x3593d125a4f7849a1b059e64f4517a86dd60c95d,OM
0x96a5399d07896f757bd4c6ef56461f58db951862,DRAGONX
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI
0x471c63ed1131b5cc36fc41f1a90f28b8fbe2cff1,SATOSHI
0x97b094e7485ab21f473ada183e96b362ba91a136,AGURI
0xb23d80f5fefcddaa212212f028021b41ded428cf,PRIME
0xacd8420e9b6f89a468aaee3a8d5502eeb4d39648,CHOOM
0xbe9895146f7af43049ca1c1ae358b0541ea49704,cbETH
0x5579500ab09ab2d1980fc9c790d05a19ccb865cf,DORK
0xb9f599ce614feb2e1bbe58f180f370d05b39344e,PORK
