contract_address,token0,token1
0x0149ebe930260ccfdaaa8e3081b4c39446b6f491,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff
0x050397956e1fc8a0a2e62af035275f8a415b85a7,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x056ae7ca00620ed5ca7db8fce9819022a5c638b0,0x00b2e6eff49dae9a4c355b3d0addbaae4a47c003,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x087209c5dccde18d925de55b27f6054d08c30511,0x19e2a43fbbc643c3b2d9667d858d49cad17bc2b5,0xdac17f958d2ee523a2206206994597c13d831ec7
0x0a05e2e9d6333387d4f634b08fff5210292f5561,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0b1ed1d00197ce84f0c86003ec4c7f2f06538abc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4
0x0dc6cbdc6d2d44856d3fd4354246bc72ad538d68,0xaa19961b6b858d9f18a115f25aa1d98abc1fdba8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0de0fa91b6dbab8c8503aaa2d1dfa91a192cb149,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xdac17f958d2ee523a2206206994597c13d831ec7
0x0e157cc74a5c22aac654780a53f1d5273050f38a,0x249ca82617ec3dfb2589c4c17ab7ec9765350a18,0xdac17f958d2ee523a2206206994597c13d831ec7
0x0e8d2aad60caf0df59fa897934cf8929a14b3b39,0x1a6658f40e51b372e593b7d2144c1402d5cf33e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0f641efbeff4be14762a276d4d3744ce40526653,0xb6ee9668771a79be7967ee29a63d4184f8097143,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0f74c81c67531146290bc34bd85516e2f9891d2c,0x55a290f08bb4cae8dcf1ea5635a3fcfd4da60456,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x16e1576d21dac49374daaec35e8145fce25be7de,0x2ef52ed7de8c5ce03a4ef0efbe9b7450f2d7edc9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x17202e8e31fe0eebdb401b2e11492f5be52c8312,0x2c9aceb63181cd08a093d052ec041e191f229692,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x182841f6e661170bb7ea7f7295a7b79ec1d696e4,0xb2f54326e6a8c0be4a68e645a1d4c8ac62ad605d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1a58aa618df8f1ec282748fef6185c1a1cc2faa6,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1c19fd9bd77d4383c66d9a6ecf1bc67d462c477f,0x6b175474e89094c44da98b954eedeac495271d0f,0x9393fdc77090f31c7db989390d43f454b1a6e7f3
0x1d10bb97bd9baebe98a09c6eaeb03c16467e2c73,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1e49768714e438e789047f48fd386686a5707db2,0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb,0xdac17f958d2ee523a2206206994597c13d831ec7
0x1e9ed2a6ae58f49b3f847eb9f301849c4a20b7e3,0xaac41ec512808d64625576eddd580e7ea40ef8b2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x211bf7fb0e1164ce62cd77b07ebd4865799691ad,0xf433089366899d83a9f26a773d59ec7ecf30355e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x231b7589426ffe1b75405526fc32ac09d44364c4,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x6b175474e89094c44da98b954eedeac495271d0f
0x2336caa76eb0c28597c691679988a5bcf5806e11,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x668dbf100635f593a3847c0bdaf21f0a09380188
0x23d15edceb5b5b3a23347fa425846de80a2e8e5c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xeef9f339514298c6a857efcfc1a762af84438dee
0x291c69fdaebd3cbe953843da243f8605a766a268,0x467bccd9d29f223bce8043b84e8c8b282827790f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2a182e532a379cb2c7f1b34ce3f76f3f7d3596f7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf4b5470523ccd314c6b9da041076e7d79e0df267
0x2c814e0346672ce6813f7e1eaf944be8703ec10f,0x6b9f031d718dded0d681c20cb754f97b3bb81b78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2e134d87039a1c19654f2199c68ab824e03c16d2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb8fda5aee55120247f16225feff266dfdb381d4c
0x2ea2eb8f9a1bf17bcbf2555536c9d1e24e45ebc0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf8c3527cc04340b208c854e985240c02f7b7793f
0x306d9c4c195cb49d48599a773e18ab79469811e3,0x93dfaf57d986b9ca77df9376c50878e013d9c7c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3452a7f30a712e415a0674c0341d44ee9d9786f9,0x0954906da0bf32d5479e25f46056d22f08464cab,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x375876d8922bd7edaa249648124c4a34bc528d99,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf5581dfefd8fb0e4aec526be659cfab1f8c781da
0x3758d1bab8e9ecd4084fdfe7810aa513bd2733c9,N/A,N/A
0x3827f0e43bb7d52a2ddd40eb8812180394a21b0d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd5d86fc8d5c0ea1ac1ac5dfab6e529c9967a45e9
0x3af73bb96b335fc0fd2c4cf39ce95f3ff8c8de66,0x8ee325ae3e54e83956ef2d5952d3c8bc1fa6ec27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3e7ac3dfe933d3027a5968be23c624f1309b1b02,0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x42018a2ff89b6d662b5f746277bd02f0d85f485a,0x08ad83d779bdf2bbe1ad9cc0f78aa0d24ab97802,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7
0x428b03ccd51ee4fcff7df6c7deae4139a4b347ed,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdc63269ea166b70d4780b3a11f5c825c2b761b01
0x42bf7367d96afeeecdb6209c8a6573ce6d55b511,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xff20817765cb7f73d4bde2e66e067e58d11095c2
0x44437eec406a881282bc5d27df4070419f9847e9,0x747f564d258612ec5c4e24742c5fd4110bcbe46b,0xdac17f958d2ee523a2206206994597c13d831ec7
0x452c60e1e3ae0965cd27db1c7b3a525d197ca0aa,0x2602278ee1882889b946eb11dc0e810075650983,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x465a9f01aad291dcef3d2a02b7de9608ae152da2,0xaa6c7d24d03769370e1c31f7c4edf3ebe10b7cf7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x48200057593487b93311b03c845afda306a90e2a,0x9625ce7753ace1fa1865a47aae2c5c2ce4418569,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x48e313460dd00100e22230e56e0a87b394066844,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd26114cd6ee289accf82350c8d8487fedb8a0c07
0x4e26311405906586742de36ad7db4ca2b6dab842,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x5238b47a0acd39fb4049a48658e6fc32307492ed,0x8355dbe8b0e275abad27eb843f3eaf3fc855e525,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x53455f3b566d6968e9282d982dd1e038e78033ac,0xa150db9b1fa65b44799d4dd949d922c0a33ee606,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x593e9bcb8d172da8be54ecb6a2acd50eaa3ee591,0xaebbd7b2eb03f84126f6849753b809755d7532f9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x59d4a73b2edcde7d2e0edeaae118622e1ee109fc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe6710e0cda178f3d921f456902707b0d4c4a332b
0x59e7bee6374a3f6ecb33180ece978fd4f2b7cea2,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5a70513ec742ebbfb99094c7fd3096a0a3e25b86,0x5c147e74d63b1d31aa3fd78eb229b65161983b2b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5b64c8d934b5e180cf1ca814584c2655d81c5b5c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe00639a1f59b52773b7d39d9f9bef07f6248dbae
0x5d149abac8c1b2c6eccda50ec5e74b70fecc24b7,0xbcd4b7de6fde81025f74426d43165a5b0d790fdd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5d81b25054833fdfa023a1c46ad9dc2cdb8eaddf,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x60031819a16266d896268cfea5d5be0b6c2b5d75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf411903cbc70a74d22900a5de66a2dda66507255
0x629d22e6eeac46a11dbc96be93b90aee9309be4c,0xaaaaaa20d9e0e2461697782ef11675f668207961,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x63057e90dea127dffef70ab7f78cf5596aeea66a,0x9fcf4497ed9fbb8d8b46259e4f2bb4749953ab8b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x64cac8fa24f437ceca90e20a7a24a609f162b0d1,0x362bc847a3a9637d3af6624eec853618a43ed7d2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6593f97975400fcfee16a44d8448bb0509743e8e,0x7d29a64504629172a429e64183d6673b9dacbfce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x67258f507ee5ce6bff8d589749f4380cfa9b0131,0x3843a61f2960108287a51806c683fc854dc00354,0xdac17f958d2ee523a2206206994597c13d831ec7
0x67cea36eeb36ace126a3ca6e21405258130cf33c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed
0x6832a060135e3005834b6306e34d67093b683c46,0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x68dd3780ef4ecb6129f10d9c66b92294546ba712,0x19e2a43fbbc643c3b2d9667d858d49cad17bc2b5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x68f8b52d098687c449a116779b7d4c15a1ddc7d4,0x9534ad65fb398e27ac8f4251dae1780b989d136e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
0x6d57a53a45343187905aad6ad8ed532d105697c1,0x607f4c5bb672230e8672085532f7e901544a7375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7322abe9958a291f27f907aac35a17e29bf22bdf,0x320623b8e4ff03373931769a31fc52a4e78b5d70,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x733a746dd6d1ed0d2b5da48c703ada934f8e979d,0xda0e01df73685568857d978ce573bd8b0ca18bbd,0xdac17f958d2ee523a2206206994597c13d831ec7
0x755c1a8f71f4210cd7b60b9439451efcbeba33d1,0x58b6a8a3302369daec383334672404ee733ab239,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x76911e11fddb742d75b83c9e1f611f48f19234e4,0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17,0xdac17f958d2ee523a2206206994597c13d831ec7
0x7820fa98cca35142992eadf8a3c5044e1a82ac34,0x2370f9d504c7a6e775bf6e14b3f12846b594cd53,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
