contract_address,token0,token1
0xb3014e8171155e90aa2d9ca995db069a89aabe06,0x1001271083c249bd771e1bb76c22d935809a61ee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,N/A,N/A
0x7ce4c1284208467965d6e95a9fb2ef663ac514ed,0x100891bf73ba8274c234aa34621bc626ed6eca8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1f4ea9d7a4d078c81b7e3ca6a61b5e202ef0cf18,0x8e42fe26fc1697f57076c9f2a8d1ff69cf7f6fda,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2164eae07685994863bc3a9a21ec045fce469faa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xff7c3964bbe9315732958e914eb041cdd05f3c77
0x470dc172d6502ac930b59322ece5345dd456a03d,0x28561b8a2360f463011c16b6cc0b0cbef8dbbcad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3885fbe4cd8aed7b7e9625923927fa1ce30662a3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xee2a03aa6dacf51c18679c516ad5283d8e7c2637
0xe0554a476a092703abdb3ef35c80e0d76d32939f,N/A,N/A
0x11b815efb8f581194ae79006d24e0d814b7697f6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7
0x05880fec68308e6e8976fa766faefce0e5a86300,0x1001271083c249bd771e1bb76c22d935809a61ee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7
0xe30dde2db47014525b32f3b8423efb94f9c120a0,0x7d4a7be025652995364e0e232063abd9e8d65e6e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5e28fc56757fe098c1260856ee37ed980ece77c2,0x52317fe2141bf9fc7e1d9fda164e1cab30f64343,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc555d55279023e732ccd32d812114caf5838fd46,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc794226be0be344f4d054245e2f4298b8d33abbf,0x6222220bf20e29c3e668e8315f1a5f1b3d3504ea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xe9fb9f0d5b9c2281fae854156317714f9c6ce951,0x80297b72f9835043988a24617bfb4a484acfd62e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7bfa198fd4893c0745564079aabc5ebe6e36fade,0x39636b82c7d2e703baa093ef195ee5af81535954,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x598d240b77073df6b6ce1824bcdaa56371cb5e0b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd0b0e54ebe7f450be3f1b438e45b95d0ec6f9bd7
0x5fc354d3026d12c011d4bde23bd4eae75ac6e2cc,0x1cf763ae60891164bb0c6a04e63b373a76b16c02,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,N/A,N/A
0x4103e658a8acab924a9a2d3750e6cf3fb932a186,0x7777cec341e7434126864195adef9b05dcc3489c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1f4ef1f8441caac34f58fb0cba813dd2b09fec63,0x71297312753ea7a2570a5a3278ed70d9a75f4f44,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x19970d8384fa70fbce3ca58cc82ceec7513cfb83,0x31c4f6a7b6351b89f16278a5ceb6abce5381cb4f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xe744c74258e567c9814816f30fc2dc06c8a3be47,0x2cc774364ec2d4cf53433c76dad287b743b17441,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x52c77b0cb827afbad022e6d6caf2c44452edbc39,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c
0xf4c283ae65b0210f938561793fe80eb60162370b,0x28ae4a13de3055a557f900e2e5307da4ea5761bb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xfa45c879fd120d6cc493113ae212a853531f3d91,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xee2a03aa6dacf51c18679c516ad5283d8e7c2637
0xa8b5182ed1d753524ba05f2b600a915dd7575601,0x3dfb819e09aef521b471f23fe169f271cb2fa5e5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x975e9a75dbe16808a911fb760b899bbe2924c20d,0x94efef107304c17fbb6f26b7c36e57b948313585,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5552727005cc8194c1559289a532deb288964fd8,0x28561b8a2360f463011c16b6cc0b0cbef8dbbcad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf938596b738e058f2c70e93f9a0436f1b20ac495,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd0ebfe04adb5ef449ec5874e450810501dc53ed5
0x088276d10561d8260de2afc2e06462ec95a17477,0x4c44a8b7823b80161eb5e6d80c014024752607f2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xce5debe9dd76f96bb5fa00eb3cc084d43ec0dbf3,0x777be1c6075c20184c4fd76344b7b0b7c858fe6b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6ca298d2983ab03aa1da7679389d955a4efee15c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7
0xe4b8583ccb95b25737c016ac88e539d0605949e8,0x576e2bed8f7b46d34016198911cdf9886f78bea7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc9ef09e340d985de6d5a75ca8144edd576e98943,0x9aa4751195e48ac3c15587c2ed02385e2f8100c1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0cc8449fc9995c4d6969b50d358ff288c0123f26,0x445e8839307e954661ed1214fbabf7ed44a3b9a0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2cc846fff0b08fb3bffad71f53a60b4b6e6d6482,0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3416cf6c708da44db2624d63ea0aaef7113527c6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7
0x821c2d8ae76ee66031c039a8d19901106f73d04e,0x2597342ff387b63846eb456419590781c4bfcdaf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xbf16540c857b4e32ce6c37d2f7725c8eec869b8b,0x3ffeea07a27fab7ad1df5297fa75e77a43cb5790,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0c3fdf9c70835f9be9db9585ecb6a1ee3f20a6c7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd29da236dd4aac627346e1bba06a619e8c22d7c5
0x60594a405d53811d3bc4766596efd80fd545a270,N/A,N/A
